id,title,genres,averageRating,numVotes,releaseYear
tt0059578,"For a Few Dollars More","Drama, Western",8.2,285274,1965
tt0080678,"The Elephant Man","Biography, Drama",8.2,270065,1980
tt0057115,"The Great Escape","Adventure, Drama, Thriller",8.2,266108,1963
tt1305806,"The Secret in Their Eyes","Drama, Mystery, Romance",8.2,230452,2009
tt4729430,Klaus,"Adventure, Animation, Comedy",8.2,210578,2019
tt10272386,"The Father","Drama, Mystery",8.2,208680,2020
tt0046912,"Dial M for Murder","Crime, Drama, Mystery",8.2,195995,1954
tt0042876,Rashomon,"Crime, Drama, Mystery",8.2,187537,1950
tt10698680,"K.G.F: Chapter 2","Action, Crime, Drama",8.2,157470,2022
tt0042192,"All About Eve",Drama,8.2,143279,1950
tt0089881,Ran,"Action, Drama, War",8.2,141853,1985
tt0012349,"The Kid","Comedy, Drama, Family",8.2,139892,1921
tt29623480,"The Wild Robot","Animation, Sci-Fi",8.2,138311,2024
tt0055630,Yojimbo,"Action, Drama, Thriller",8.2,136298,1961
tt0040897,"The Treasure of the Sierra Madre","Adventure, Drama, Western",8.2,136294,1948
tt4849438,"Baahubali 2: The Conclusion","Action, Drama",8.2,122000,2017
tt5813916,"The Mountain II","Action, Drama, War",8.2,111323,2016
tt8108198,Andhadhun,"Crime, Mystery, Thriller",8.2,107502,2018
tt15327088,Kantara,"Action, Adventure, Drama",8.2,107031,2022
tt1954470,"Gangs of Wasseypur","Action, Comedy, Crime",8.2,106761,2012
tt7838252,"K.G.F: Chapter 1","Action, Crime, Drama",8.2,103732,2018
tt0367110,Swades,"Drama, Musical",8.2,100951,2004
tt4430212,Drishyam,"Crime, Drama, Mystery",8.2,99809,2015
tt0476735,"My Father and My Son","Drama, Family",8.2,96267,2005
tt1562872,"Zindagi Na Milegi Dobara","Comedy, Drama, Musical",8.2,89505,2011
tt0118849,"Children of Heaven","Drama, Family, Sport",8.2,84548,1997
tt11032374,"Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train","Action, Adventure, Animation",8.2,81482,2020
tt1645089,"Inside Job","Crime, Documentary",8.2,80795,2010
tt0242519,"Hera Pheri","Action, Comedy, Crime",8.2,75362,2000
tt8291224,"Uri: The Surgical Strike","Action, Drama, History",8.2,75134,2019
tt2125608,"Searching for Sugar Man","Biography, Documentary, Music",8.2,74364,2012
tt2356180,"Bhaag Milkha Bhaag","Biography, Drama, Sport",8.2,74126,2013
tt8239946,Tumbbad,"Drama, Fantasy, Horror",8.2,66864,2018
tt0015324,"Sherlock Jr.","Action, Comedy, Romance",8.2,60688,1924
tt10431500,"Miracle in Cell No. 7",Drama,8.2,58522,2019
tt6148156,"Vikram Vedha","Action, Crime, Drama",8.2,52474,2017
tt15501640,"Drishyam 2","Crime, Drama, Mystery",8.2,47962,2022
tt6316138,"Ayla: The Daughter of War","Biography, Drama, History",8.2,45545,2017
tt0085809,Koyaanisqatsi,"Documentary, Music",8.2,42941,1982
tt2375605,"The Act of Killing","Biography, Crime, Documentary",8.2,42008,2012
tt0048473,"Pather Panchali",Drama,8.2,39861,1955
tt7905466,"They Shall Not Grow Old","Documentary, History, War",8.2,39442,2018
tt1620933,"Paan Singh Tomar","Action, Biography, Crime",8.2,38713,2012
tt5895028,13th,"Crime, Documentary, History",8.2,38359,2016
tt0071411,"Dersu Uzala","Adventure, Biography, Drama",8.2,34723,1975
tt0045274,"Umberto D.",Drama,8.2,29298,1952
